"","x"
"1",5886.58835774738
"2",2737.22885779334
"3",13757.1688483891
"4",2655.44549418291
"5",3022.01087559171
"6",3752.81694261499
"7",5445.62483383452
"8",2599.60583736644
"9",3021.31176409701
"10",13198.7687795872
"11",9967.75464673441
"12",2769.96878369126
"13",5244.99657481041
"14",5254.78111182266
"15",5621.24728210212
"16",5645.28284748834
"17",6010.18539575045
"18",5615.57222579938
"19",4224.75428943164
"20",2639.29966759637
"21",4253.76528492592
"22",8183.07410113787
"23",8001.73955965731
"24",5063.10155177249
"25",10607.7087373695
"26",9065.91990116785
"27",7762.1292381521
"28",15487.2627470212
"29",5284.47336279077
"30",2778.32189218761
"31",2962.91116976235
"32",5943.37344456629
"33",6454.24988370348
"34",3045.84771643857
"35",14225.7815740286
"36",5221.8569538834
"37",9075.99973238363
"38",5873.46255958641
"39",2651.61387489756
"40",2475.75425297677
"41",26657.3092246906
"42",2823.11376658666
"43",2876.2306984238
"44",10273.2535716232
"45",5547.94191279781
"46",3980.36214588884
"47",2495.52574390634
"48",5164.42616643416
"49",2253.06082746081
"50",2760.86876530858
"51",2379.15028196501
"52",2548.3117940306
"53",4367.69057616901
"54",4050.29534644902
"55",16833.2592283301
"56",3167.70234909466
"57",5590.49769526639
"58",11875.1036300726
"59",2349.58164583583
"60",2768.51399363796
"61",6049.86522510793
"62",10439.1392259359
"63",8646.70154057212
"64",2888.5291026716
"65",2454.30068276195
"66",2580.6478652202
"67",8709.69009979006
"68",9466.90423361281
"69",4724.77153748772
"70",2307.41006197355
"71",2953.28116315088
"72",8321.88034627804
"73",10260.0259077738
"74",5724.28025181181
"75",2270.6065081324
"76",5629.39054349576
"77",2315.16976084391
"78",2636.41924330159
"79",2935.12545670365
"80",5437.04968463749
"81",2477.23023629181
"82",5693.76802349725
"83",5500.09946265934
"84",2732.81472667864
"85",4141.52525151746
"86",5953.90753360086
"87",10895.5580302278
"88",2811.82044504327
"89",8521.84525246783
"90",27811.3709492798
"91",2842.29740956472
"92",4299.38052140247
"93",5897.54145956632
"94",4543.20394452424
"95",2650.65451107292
"96",23500.0621797583
"97",2562.92559847935
"98",7930.58421807364
"99",15004.5084647292
"100",2865.38260587404
"101",5673.57623739401
"102",5636.96222446529
"103",2564.51373578638
"104",2509.89498799977
"105",5346.94921045831
"106",2609.16933605679
"107",6066.24435333113
"108",2559.80458568825
"109",9864.66007216643
"110",22639.9497577882
"111",2588.12133262867
"112",8729.94241309022
"113",2953.86559009031
"114",2430.15379941425
"115",5959.51156613738
"116",2800.52283433706
"117",2762.07911761968
"118",5853.03284439326
"119",8076.33198812323
"120",2675.40094587509
"121",4811.14621030309
"122",2615.00885476532
"123",4571.92784443335
"124",5564.38332011239
"125",4855.82042925956
"126",4667.87784455163
"127",2543.75341511317
"128",15470.0193554692
"129",9310.46519684477
"130",2613.5998871709
"131",4364.59498256105
"132",3569.25048561129
"133",4085.44182186584
"134",6111.14324006514
"135",3042.63144587508
"136",5516.99125149968
"137",2386.67009034407
"138",6201.30786997172
"139",23663.3169912649
"140",4151.39189234275
"141",8914.43993048274
"142",4407.53129126565
"143",5965.65221908181
"144",4136.98428756893
"145",5528.6377917722
"146",2631.41798787543
"147",2778.77794374373
"148",8812.15679983855
"149",8905.49816473914
"150",2378.79179341308
"151",5745.05253586654
"152",5028.02868833173
"153",4264.87997820646
"154",8612.48835599084
"155",16204.6048261227
"156",19963.899607245
"157",4322.01539302577
"158",5654.41523779844
"159",5968.4681610288
"160",7035.36590483804
"161",5544.2162778239
"162",2947.81627328755
"163",10106.113454669
"164",2722.93053220041
"165",4292.43149995255
"166",2546.63928592175
"167",5034.87814799206
"168",6013.67134688507
"169",9401.07285582892
"170",5980.02270284846
"171",2535.97498585089
"172",2874.79345809983
"173",8183.87659846792
"174",6642.88226722826
"175",2438.17808599663
"176",2640.11604378902
"177",5743.09050414614
"178",10767.1146509086
"179",2724.52891210783
"180",6023.4873427108
"181",9272.60230394308
"182",2566.80765313723
"183",5826.39224903419
"184",2719.13121595316
"185",2482.58780304466
"186",2861.85503710939
"187",5294.40896610845
"188",15179.8555057902
"189",4413.25841786935
